class	precision	recall	f1-score	support
Approval notice	1.0	1.0	1.0	6.0
D.1	1.0	1.0	1.0	21.0
D.2	1.0	1.0	1.0	16.0
DM.1	1.0	0.9473684210526315	0.972972972972973	19.0
Judicial and political background check	1.0	1.0	1.0	11.0
Letter about procedure	0.9333333333333333	1.0	0.9655172413793104	14.0
NAA cover	1.0	1.0	1.0	10.0
NAMA agreement	1.0	1.0	1.0	11.0
Other (Letter, Application Documents)	0.0	0.0	0.0	0.0
Other (Letter, Other)	1.0	1.0	1.0	1.0
Other (Other, Other)	0.0	0.0	0.0	0.0
Other (Structured Form, Administrative & Internal Processing Documents)	0.0	0.0	0.0	1.0
Other (Structured Form, Application Documents)	0.0	0.0	0.0	0.0
Other (Structured Form, Medical & Health Documents)	0.75	1.0	0.8571428571428571	3.0
Other (Structured Form, Other)	0.0	0.0	0.0	0.0
Other (Structured Form, Qualification & Employment Proof)	1.0	0.5	0.6666666666666666	2.0
Photo	1.0	0.9583333333333334	0.9787234042553191	24.0
Registration card	1.0	0.8571428571428571	0.9230769230769231	7.0
Report of selection and medical officers	1.0	0.8571428571428571	0.9230769230769231	7.0
Testimonial labour (Qualification & Employment Proof)	1.0	0.9607843137254902	0.98	51.0
Testimonial medical form (Medical & Health Documents)	1.0	0.8	0.8888888888888888	5.0
Testimonial medical letter (Medical & Health Documents)	1.0	1.0	1.0	22.0
Testimonial status (Application Documents)	1.0	1.0	1.0	7.0
micro avg	0.9870689655172413	0.9621848739495799	0.9744680851063829	238.0
macro avg	0.768840579710145	0.7339465992346597	0.7459159077156462	238.0
weighted avg	0.9887254901960784	0.9621848739495799	0.9737200539504527	238.0
